id,osm_id,name,dtype,distance,people_local,people_total
21,-1073,Сквер за оперным,direct,18500,2262,1042561
13,55228146,"Парк ""Горский""",direct,16250,1732,1054407
21,-1073,Сквер за оперным,direct,7500,20662,704266
4,36774872,ПКиО им. Кирова (Ленинский р-н),direct,6500,32464,432418
13,55228146,"Парк ""Горский""",direct,4250,24405,239356
23,-907,Сухой лог,direct,22750,351,1047518
23,-907,Сухой лог,direct,18000,23,1027726
5,25692127,Монумент Славы,direct,20250,6284,1121314
29,53372013,ПКиО им. Ф. Дзержинского,direct,23250,11023,1111772
11,25768883,Сквер НГАВТ,direct,12750,2713,988510
10,25768832,Нарымский сквер,direct,20500,6891,1048432
31,-1019,Пойма ручья в Щ,direct,21250,20070,696809
20,25768888,Сквер театра Глобус,direct,24750,100,1153603
21,-1073,Сквер за оперным,direct,19500,9462,1074499
32,591,Ботанический сад СО РАН,direct,39500,348,1145190
31,-1019,Пойма ручья в Щ,direct,7750,7855,114728
3,-510,Ботсад (город),direct,6750,28653,395537
1,25973057,Троицкий сквер,direct,23000,4636,1130684
21,-1073,Сквер за оперным,direct,10250,8505,908560
25,25657738,Берёзовая роща,direct,24500,33,1135840
31,-1019,Пойма ручья в Щ,direct,750,11399,20117
21,-1073,Сквер за оперным,direct,13250,819,997321
23,-907,Сухой лог,direct,15500,10655,998117
16,25642995,Сквер Оперного театра,direct,21750,8070,1120670
22,-1094,Парк Кирова (Октябрьский р-н),direct,23000,4319,1148481
15,-968,Бугринская роща,direct,9250,32183,753293
28,290224818,У моря обского,direct,26250,1525,1050435
28,290224818,У моря обского,direct,1500,8527,22408
16,25642995,Сквер Оперного театра,direct,14500,1993,1009171
12,-790,Пойма 1й Ельцовки,direct,27000,4342,1141056
30,53372014,Сквер авиастроителей,direct,26250,4649,1145728
31,-1019,Пойма ручья в Щ,direct,32500,15,1130183
30,53372014,Сквер авиастроителей,direct,1500,11913,22173
17,59547865,сквер Героев Революции,direct,16000,2095,1019417
2,-512,Заельцовский парк,direct,28000,52,1135421
27,51871600,Павловский сквер,direct,16500,8569,1010296
5,25692127,Монумент Славы,direct,16250,4486,1037207
20,25768888,Сквер театра Глобус,direct,6250,46236,609456
19,774,Набережная (вместе),direct,14000,2428,1005643
3,-510,Ботсад (город),direct,23750,4033,1074353
4,36774872,ПКиО им. Кирова (Ленинский р-н),direct,23000,2599,1149109
18,25642909,Центральный парк,direct,750,8736,14453
13,55228146,"Парк ""Горский""",direct,9750,14912,859028
31,-1019,Пойма ручья в Щ,direct,27000,6665,1059495
17,59547865,сквер Героев Революции,direct,20500,3318,1087606
28,290224818,У моря обского,direct,28500,8299,1087694
32,591,Ботанический сад СО РАН,direct,13000,3568,123846
16,25642995,Сквер Оперного театра,direct,7000,22812,675422
23,-907,Сухой лог,direct,17250,501,1027139
3,-510,Ботсад (город),direct,27500,296,1135779
19,774,Набережная (вместе),direct,17750,1553,1070862
31,-1019,Пойма ручья в Щ,direct,35000,2709,1147899
20,25768888,Сквер театра Глобус,direct,12000,3592,989777
12,-790,Пойма 1й Ельцовки,direct,750,16477,24275
19,774,Набережная (вместе),direct,18750,12235,1101858
15,-968,Бугринская роща,direct,18500,4092,1120866
1,25973057,Троицкий сквер,direct,6500,2880,271063
12,-790,Пойма 1й Ельцовки,direct,7750,9609,595749
19,774,Набережная (вместе),direct,10000,3538,904078
21,-1073,Сквер за оперным,direct,5250,28763,465071
